,title,cited_by,year,tweeted_by
0,Optimal control analysis of a mathematical model for breast cancer,20,2018,0
1,Modeling combination therapy for breast cancer with BET and immune checkpoint inhibitors,26,2018,4
2, Serum upar as biomarker in breast cancer recurrence: A mathematical model,8,2016,2
3, Consolidated mathematical growth model of the primary tumor and secondary distant metastases of breast cancer (CoMPaS),5,2018,2
4,Analysis of a breast cancer mathematical model by a new method to find an optimal protocol for HER2-positive cancer,0,2020,0
5, Breast cancer-derived lung metastases show increased pyruvate carboxylase-dependent anaplerosis,101,2016,1
6, Mathematical modeling of tumor growth: the MCF-7 breast cancer cell line,3,2019,0
7,The GRHL2/ZEB feedback loop—a key axis in the regulation of EMT in breast cancer,45,2017,1
8, Model driven optimization of antiangiogenics+ cytotoxics combination: application to breast cancer mice treated with bevacizumab+ paclitaxel doublet leads to …,23,2017,0
9, Predicting breast cancer response to neoadjuvant chemotherapy based on tumor vascular features in needle biopsies,9,2019,0
10, Experimentally-driven mathematical modeling to improve combination targeted and cytotoxic therapy for HER2+ breast cancer,4,2019,2
11,HPM of estrogen model on the dynamics of breast cancer,3,2018,0
12,A mathematical model for phase transition regulation on the cell cycle in early stage of breast cancer,0,2019,0
13,Mathematical modeling links pregnancy-associated changes and breast cancer risk,6,2017,6
14,Mathematical Modeling of Triple Negative Breast Cancer with Doxorubicin,0,2020,0
15,An Ito stochastic differential equations model for the dynamics of the MCF-7 breast cancer cell line treated by radiotherapy,8,2016,0
16, Bifurcation Analysis of a Mathematical Model of Tumor Growth in MCF-7 Breast Cancer Cell Line,0,2020,0
17,A PROGNOSTIC IMMUNOTHERAPY MODEL FOR 4T1 BREAST CANCER WITH COMBINED CYCLOPHOSPHAMIDE AND TLR AGONIST,0,2020,0
18,Size‐optimized Ultrasmall porous silica nanoparticles depict vasculature‐based differential targeting in triple negative breast cancer,9,2019,0
19, Combination therapy of cancer with cancer vaccine and immune checkpoint inhibitors: A mathematical model,48,2017,2
20,Model-based cardiac dose estimation in radiation treatment of left breast cancer,2,2018,4
21,Galerkin finite element method for cancer invasion mathematical model,16,2017,5
22,A Mathematical analysis of Local Stability and Optimal Control of Breast Cancer,0,2017,0
